X1,Z1,X3,Z3,X5,Z5,X7,Z7
-4.63E-07,-9.25E-06,2.29E-05,-1.01E-05,8.42E-05,1.91E-05,5.41E-05,-2.40E-06
8.98E-07,-1.21E-05,1.39E-05,-1.23E-05,8.25E-05,1.63E-05,5.89E-05,-2.39E-06
1.60E-06,-1.56E-05,4.67E-06,-1.51E-05,8.08E-05,1.39E-05,6.34E-05,-3.91E-06
1.84E-06,-1.93E-05,-4.16E-06,-1.87E-05,7.93E-05,1.19E-05,6.70E-05,-6.67E-06
1.88E-06,-2.31E-05,-1.19E-05,-2.32E-05,7.79E-05,1.01E-05,6.96E-05,-1.01E-05
1.93E-06,-2.67E-05,-1.79E-05,-2.88E-05,7.63E-05,8.08E-06,7.11E-05,-1.35E-05
2.14E-06,-2.99E-05,-2.14E-05,-3.51E-05,7.47E-05,5.81E-06,7.20E-05,-1.65E-05
2.55E-06,-3.22E-05,-2.21E-05,-4.10E-05,7.32E-05,3.26E-06,7.26E-05,-1.90E-05
3.05E-06,-3.36E-05,-2.02E-05,-4.55E-05,7.19E-05,5.61E-07,7.33E-05,-2.11E-05
3.53E-06,-3.38E-05,-1.62E-05,-4.74E-05,7.07E-05,-2.16E-06,7.41E-05,-2.31E-05
3.89E-06,-3.32E-05,-1.12E-05,-4.60E-05,6.96E-05,-4.71E-06,7.52E-05,-2.46E-05
3.92E-06,-3.22E-05,-6.07E-06,-4.16E-05,6.89E-05,-6.72E-06,7.61E-05,-2.56E-05
3.43E-06,-3.14E-05,-1.85E-06,-3.47E-05,6.90E-05,-7.83E-06,7.66E-05,-2.59E-05
2.32E-06,-3.13E-05,6.90E-07,-2.65E-05,7.01E-05,-7.80E-06,7.61E-05,-2.54E-05
5.11E-07,-3.20E-05,1.29E-06,-1.78E-05,7.22E-05,-6.63E-06,7.49E-05,-2.40E-05
-1.98E-06,-3.34E-05,3.10E-07,-9.14E-06,7.51E-05,-4.46E-06,7.30E-05,-2.16E-05
-4.88E-06,-3.50E-05,-1.34E-06,-7.58E-07,7.82E-05,-1.56E-06,7.11E-05,-1.83E-05
-7.79E-06,-3.63E-05,-2.55E-06,7.32E-06,8.12E-05,1.84E-06,6.96E-05,-1.45E-05
-1.04E-05,-3.68E-05,-2.49E-06,1.49E-05,8.36E-05,5.50E-06,6.85E-05,-1.08E-05
-1.25E-05,-3.63E-05,-9.13E-07,2.14E-05,8.51E-05,9.05E-06,6.80E-05,-7.75E-06
-1.41E-05,-3.49E-05,2.03E-06,2.66E-05,8.51E-05,1.20E-05,6.82E-05,-5.67E-06
-1.56E-05,-3.30E-05,5.78E-06,3.03E-05,8.35E-05,1.41E-05,6.91E-05,-4.64E-06
-1.69E-05,-3.11E-05,9.43E-06,3.22E-05,8.07E-05,1.53E-05,7.09E-05,-4.54E-06
-1.80E-05,-2.94E-05,1.19E-05,3.23E-05,7.71E-05,1.55E-05,7.38E-05,-5.18E-06
-1.85E-05,-2.80E-05,1.25E-05,3.05E-05,7.37E-05,1.52E-05,7.82E-05,-6.32E-06
-1.83E-05,-2.67E-05,1.08E-05,2.69E-05,7.07E-05,1.43E-05,8.41E-05,-7.66E-06
-1.73E-05,-2.53E-05,7.28E-06,2.17E-05,6.81E-05,1.28E-05,9.17E-05,-8.87E-06
-1.53E-05,-2.35E-05,3.06E-06,1.55E-05,6.56E-05,1.07E-05,0.000100728,-9.68E-06
-1.23E-05,-2.12E-05,-6.71E-07,9.01E-06,6.27E-05,7.81E-06,0.000110791,-9.95E-06
-8.27E-06,-1.84E-05,-2.89E-06,3.10E-06,5.95E-05,4.24E-06,0.000121335,-9.62E-06
